epoch,series,value,evalSet,evalRows
3.11,train_learning_rate,2.23401773215119e-05,,
3.11,train_loss,1.7446,,
3.11,train_grad_norm,1.1412055492401123,,
3.11,train_learning_rate,2.2173521765215654e-05,,
3.12,train_loss,1.7302,,
3.12,train_grad_norm,1.2372558116912842,,
3.12,train_learning_rate,2.2006866208919407e-05,,
3.13,train_loss,1.7267,,
3.13,train_grad_norm,1.5949279069900513,,
3.13,train_learning_rate,2.1840210652623157e-05,,
3.13,train_loss,1.7477,,
3.13,train_grad_norm,1.0724372863769531,,
3.13,train_learning_rate,2.167355509632691e-05,,
3.14,train_loss,1.7261,,
3.14,train_grad_norm,1.3313113451004028,,
3.14,train_learning_rate,2.1506899540030663e-05,,
3.15,train_loss,1.7534,,
3.15,train_grad_norm,1.2401233911514282,,
3.15,train_learning_rate,2.1340243983734416e-05,,
3.15,train_loss,1.7327,,
3.15,train_grad_norm,1.0281857252120972,,
3.15,train_learning_rate,2.1173588427438172e-05,,
3.16,train_loss,1.7258,,
3.16,train_grad_norm,1.5833405256271362,,
3.16,train_learning_rate,2.1006932871141925e-05,,
3.17,train_loss,1.7344,,
3.17,train_grad_norm,1.3148497343063354,,
3.17,train_learning_rate,2.084027731484568e-05,,
3.17,train_loss,1.7331,,
3.17,train_grad_norm,1.3988622426986694,,
3.17,train_learning_rate,2.067362175854943e-05,,
3.18,train_loss,1.7431,,
3.18,train_grad_norm,1.2390297651290894,,
3.18,train_learning_rate,2.0506966202253184e-05,,
3.19,train_loss,1.7388,,
3.19,train_grad_norm,1.4457247257232666,,
3.19,train_learning_rate,2.0340310645956937e-05,,
3.19,train_loss,1.7429,,
3.19,train_grad_norm,1.3233695030212402,,
3.19,train_learning_rate,2.017365508966069e-05,,
3.2,train_loss,1.7168,,
3.2,train_grad_norm,1.2295470237731934,,
3.2,train_learning_rate,2.0006999533364443e-05,,
3.21,train_loss,1.7088,,
3.21,train_grad_norm,1.1525722742080688,,
3.21,train_learning_rate,1.9840343977068197e-05,,
3.21,train_loss,1.7182,,
3.21,train_grad_norm,1.3672354221343994,,
3.21,train_learning_rate,1.967368842077195e-05,,
3.22,train_loss,1.7316,,
3.22,train_grad_norm,1.211201548576355,,
3.22,train_learning_rate,1.9507032864475703e-05,,
3.23,train_loss,1.7389,,
3.23,train_grad_norm,1.2328821420669556,,
3.23,train_learning_rate,1.9340377308179456e-05,,
3.23,train_loss,1.7134,,
3.23,train_grad_norm,1.2469550371170044,,
3.23,train_learning_rate,1.917372175188321e-05,,
3.24,train_loss,1.7184,,
3.24,train_grad_norm,1.2845982313156128,,
3.24,train_learning_rate,1.900706619558696e-05,,
3.25,train_loss,1.7414,,
3.25,train_grad_norm,1.0970951318740845,,
3.25,train_learning_rate,1.8840410639290715e-05,,
3.25,train_loss,1.7497,,
3.25,train_grad_norm,1.348697304725647,,
3.25,train_learning_rate,1.8673755082994468e-05,,
3.26,train_loss,1.7329,,
3.26,train_grad_norm,1.3285088539123535,,
3.26,train_learning_rate,1.850709952669822e-05,,
3.27,train_loss,1.7381,,
3.27,train_grad_norm,1.1716029644012451,,
3.27,train_learning_rate,1.8340443970401974e-05,,
3.27,train_loss,1.7438,,
3.27,train_grad_norm,1.3566538095474243,,
3.27,train_learning_rate,1.8173788414105727e-05,,
3.28,train_loss,1.7239,,
3.28,train_grad_norm,1.1359500885009766,,
3.28,train_learning_rate,1.800713285780948e-05,,
3.29,train_loss,1.7259,,
3.29,train_grad_norm,1.515167474746704,,
3.29,train_learning_rate,1.7840477301513233e-05,,
3.29,train_loss,1.7141,,
3.29,train_grad_norm,1.4872002601623535,,
3.29,train_learning_rate,1.7673821745216986e-05,,
3.3,train_loss,1.7327,,
3.3,train_grad_norm,1.158298134803772,,
3.3,train_learning_rate,1.750716618892074e-05,,
3.31,train_loss,1.7469,,
3.31,train_grad_norm,1.1241962909698486,,
3.31,train_learning_rate,1.7340510632624492e-05,,
3.31,train_loss,1.725,,
3.31,train_grad_norm,1.0609402656555176,,
3.31,train_learning_rate,1.7173855076328245e-05,,
3.32,train_loss,1.7457,,
3.32,train_grad_norm,1.3127124309539795,,
3.32,train_learning_rate,1.7007199520031998e-05,,
3.33,train_loss,1.7324,,
3.33,train_grad_norm,1.3200231790542603,,
3.33,train_learning_rate,1.6840543963735754e-05,,
3.33,train_loss,1.7259,,
3.33,train_grad_norm,1.262851595878601,,
3.33,train_learning_rate,1.6673888407439507e-05,,
3.34,train_loss,1.714,,
3.34,train_grad_norm,1.452826976776123,,
3.34,train_learning_rate,1.650723285114326e-05,,
3.35,train_loss,1.7062,,
3.35,train_grad_norm,1.1543357372283936,,
3.35,train_learning_rate,1.6340577294847013e-05,,
3.35,train_loss,1.716,,
3.35,train_grad_norm,1.3030116558074951,,
3.35,train_learning_rate,1.6173921738550766e-05,,
3.36,train_loss,1.7214,,
3.36,train_grad_norm,1.205551028251648,,
3.36,train_learning_rate,1.600726618225452e-05,,
3.37,train_loss,1.7175,,
3.37,train_grad_norm,1.0683854818344116,,
3.37,train_learning_rate,1.5840610625958272e-05,,
3.37,train_loss,1.7224,,
3.37,train_grad_norm,1.4038692712783813,,
3.37,train_learning_rate,1.5673955069662025e-05,,
3.38,train_loss,1.7149,,
3.38,train_grad_norm,1.2884361743927002,,
3.38,train_learning_rate,1.5507299513365775e-05,,
3.39,train_loss,1.7151,,
3.39,train_grad_norm,1.260361909866333,,
3.39,train_learning_rate,1.5340643957069528e-05,,
3.39,train_loss,1.7425,,
